frame,price,supplier
131061,5.41,roma
131062,5.41,roma
131063,5.67,roma
132045,9.46,roma
132054,10.2,roma
132063,10.2,roma
133001,3.13,roma
133011,3.35,roma
133054,3.35,roma
133302,3.35,roma
133303,3.35,roma
133308,3.13,roma
136055,5.51,roma
136309,5.51,roma
138011,5.38,roma
138045,5.38,roma
138054,5.38,roma
138055,5.38,roma
138056,5.38,roma
139011,7.64,roma
139045,7.64,roma
139054,7.64,roma
139055,7.64,roma
139056,7.64,roma
140063,1.87,roma
141063,4.63,roma
153010,3.48,roma
153069,3.48,roma
153087,3.48,roma
154010,5.84,roma
154069,5.84,roma
154087,5.84,roma
156010,4.23,roma
156069,4.23,roma
156087,4.23,roma
158010,5.54,roma
158069,5.54,roma
158087,5.54,roma
159045,4.02,roma
159054,4.02,roma
159055,4.02,roma
159056,4.02,roma
160045,4.97,roma
160054,4.97,roma
160055,4.97,roma
160056,4.97,roma
162045,6.71,roma
162054,6.71,roma
162055,6.71,roma
162056,6.71,roma
163045,8.17,roma
163054,8.17,roma
163055,8.17,roma
163056,8.17,roma
163200,3.14,roma
163209,3.14,roma
163254,3.14,roma
163255,3.14,roma
164009,4.14,roma
164045,4.14,roma
164070,4.14,roma
164086,4.14,roma
164087,4.14,roma
165009,5.08,roma
165045,5.08,roma
165070,5.08,roma
165086,5.08,roma
165087,5.08,roma
167009,5.41,roma
167045,5.41,roma
167070,5.41,roma
167086,5.41,roma
167087,5.41,roma
168009,4.43,roma
168045,4.43,roma
168070,4.43,roma
168086,4.43,roma
168087,4.43,roma
169009,6.35,roma
169045,6.35,roma
169070,6.35,roma
169086,6.35,roma
169087,6.35,roma
170009,10.17,roma
170045,10.17,roma
170070,10.17,roma
170086,10.17,roma
170087,10.17,roma
171001,4.66,roma
171009,4.66,roma
171054,4.66,roma
172001,4.84,roma
172009,4.84,roma
172054,4.84,roma
173001,4.55,roma
173009,4.55,roma
173054,4.55,roma
173200,3.14,roma
173251,3.14,roma
173252,3.14,roma
174001,6.05,roma
174009,6.05,roma
174054,6.05,roma
175001,7.58,roma
175009,7.58,roma
175054,7.58,roma
176001,10.01,roma
176009,10.01,roma
176054,10.01,roma
195045,4.39,roma
195054,4.39,roma
195055,4.39,roma
195056,4.39,roma
196045,7.01,roma
196054,7.01,roma
196055,7.01,roma
196056,7.01,roma
203100,3.14,roma
203109,3.14,roma
203147,3.14,roma
203150,3.14,roma
203172,3.14,roma
210047,5.24,roma
210048,5.24,roma
210083,5.24,roma
210086,5.24,roma
210087,5.24,roma
211048,9.69,roma
211086,9.69,roma
212000,2.69,roma
212009,2.69,roma
212052,2.99,roma
212054,2.99,roma
212055,2.99,roma
213000,3.79,roma
213009,3.79,roma
213052,3.99,roma
213054,3.99,roma
213055,3.99,roma
220011,3.5,roma
220045,3.5,roma
220083,3.5,roma
220087,3.5,roma
221011,8.27,roma
221045,8.27,roma
221083,8.27,roma
221087,8.27,roma
225011,4.19,roma
225045,4.19,roma
225083,4.19,roma
225087,4.19,roma
230011,10.33,roma
230045,10.33,roma
230087,10.33,roma
250003,3.21,roma
250015,3.21,roma
250047,3.21,roma
250048,3.21,roma
250083,3.21,roma
250087,3.21,roma
250097,3.21,roma
252205,3.05,roma
252206,3.05,roma
252209,3.03,roma
253500,4.5,roma
253551,4.5,roma
253552,4.5,roma
253700,4.5,roma
253709,4.5,roma
253754,4.5,roma
253755,4.5,roma
255003,6.44,roma
255015,6.44,roma
255047,6.44,roma
255083,6.44,roma
255097,6.44,roma
260047,12.56,roma
260053,12.56,roma
260059,12.56,roma
260086,12.56,roma
265054,13.77,roma
265055,13.77,roma
265086,12.98,roma
266054,23.12,roma
266086,21.68,roma
303100,3.87,roma
303109,3.87,roma
303147,3.87,roma
303150,3.87,roma
303172,3.87,roma
304209,5.31,roma
310045,1.84,roma
310053,1.84,roma
310067,1.84,roma
310086,1.84,roma
320045,2.45,roma
320053,2.45,roma
320067,2.45,roma
320086,2.45,roma
321874,3.14,roma
321876,3.14,roma
321896,3.14,roma
321897,3.14,roma
321898,3.14,roma
321899,3.14,roma
330045,2.64,roma
330053,2.64,roma
330067,2.64,roma
330086,2.64,roma
339045,2.94,roma
339048,2.94,roma
339054,2.94,roma
339098,2.94,roma
339099,2.94,roma
340045,4.88,roma
340067,4.88,roma
340086,4.88,roma
341045,9.06,roma
341048,9.06,roma
341054,9.06,roma
341098,9.06,roma
341099,9.06,roma
360000,3.21,roma
360045,3.21,roma
360053,3.21,roma
360067,3.21,roma
360086,3.21,roma
370000,7.83,roma
370045,7.83,roma
370067,7.83,roma
370086,7.83,roma
383005,4.58,roma
383006,4.58,roma
383009,4.55,roma
420001,2.1,roma
420009,2.1,roma
430001,2.55,roma
430009,2.55,roma
450001,3.55,roma
450009,3.55,roma
460041,2.36,roma
460087,2.36,roma
470001,4.53,roma
470009,4.53,roma
